# x |x| K_N count nontrivial_mass_2^-64 min_program
0000011001011011010 19 19 35298 16769162936320 0000010010011001011011010
0000010110011011010 19 19 35262 16765253844992 0000010010010110011011010
0000010101101101010 19 19 35227 16761747406848 0000010010010101101101010
0000010110011101010 19 19 35215 16761546080256 0000010010010110011101010
0001100000011101110 19 19 32829 16688565190656 000110000100001100110110
0000010111010001110 19 19 34977 16557602242560 0000010001011011000110110
0000010110110001110 19 19 34974 16557098926080 0000010001011101000110110
0000011100111000110 19 19 33869 16328157036544 0000010001100110001110110
00000000000000001110 20 20 61433 16319718096896 00000000000000000100101110
0000010111000110110 19 19 33756 16315104362496 0000010001011000111010110
00011000000111101110 20 20 36731 16029841358848 000110000001000110101110
0000000101111011010 19 19 32865 16012040732672 000001000001110100111010
0000000101110111010 19 19 32703 15957296676864 000001000001110100110110
0000000110011101110 19 19 32658 15953941233664 000001000001101100110110
0000000110011110110 19 19 32651 15952531947520 000001000001101100111010
00010110100101101010 20 20 35527 15899364950016 00010001100110110011010
00010110011010011010 20 20 35350 15887016919040 00010001011101010011010
00010101101010011010 20 20 35449 15883426594816 00010001011011010011010
00010110100110011010 20 20 35240 15870290034688 00010001100111010011010
00000000000110000010 20 20 60056 15835980627968 00000000000100011000001010
00000000011000000010 20 20 59683 15832977506304 00000000010001100000001010
00000001100000000010 20 20 59003 15769140199424 00000001000110000000001010
00000000000001100010 20 20 59612 15753503834112 00000000000001000110001010
00000110000000000010 20 20 57946 15614957584384 00000100011000000000001010
00000000000111101110 20 20 41421 15611065270272 000000000001000110101110
00000101100000100010 20 20 57456 15597844824064 00000100010110000010001010
00000101100010000010 20 20 56720 15486460887040 00000100010110001000001010
00000000000000011010 20 20 57311 15469599784960 00000000000000010001101010
00011000000000000010 20 20 55701 15275235737600 00010001100000000000001010
00000111001110001110 20 20 37226 14982070665216 000001000110011000110110
00000101110001110110 20 20 37047 14958901329920 000001000101100011010110
00010101100010001010 20 20 47117 14704625844224 0001010001011101010001010
00011001011000100010 20 20 47278 14703552102400 0001100100010111010100010
00000101110110001110 20 20 35598 14599298482176 000001000101101000110110
00000001100111101110 20 20 32742 14538262970368 000000011001000110101110
00000001011110111010 20 20 32705 14535075299328 000000010100011010111010
00000110000111101110 20 20 32602 14445552074752 000001100001000110101110
00000101110110000010 20 20 41819 14279893843968 0000010001011010000010110
00000000010110100010 20 20 49852 14238236016640 00000000010001011010001010
00000001011101100010 20 20 42540 14237413933056 0000000100010110100010110
0000000101110101110 19 19 29327 14210788491264 0000000100100101110101110
00010101011010101010 20 20 37557 14190018297856 00010001010101101010101010
0000000101111010110 19 19 29304 14165053800448 0000000100100101111010110
00000000010110001010 20 20 50072 14164852473856 00000000010001011000101010
0000000111001111010 19 19 29233 14160725278720 0000000100100111001111010
0000000111100111010 19 19 29213 14159584428032 0000000100100111100111010
0000000101101110110 19 19 29223 14159299215360 0000000100100101101110110
0000000111001101110 19 19 29234 14159232106496 0000000100100111001101110
0000000101101101110 19 19 29220 14158896562176 0000000100100101101101110
0000000111100110110 19 19 29210 14157957038080 0000000100100111100110110
00000001011010000010 20 20 48948 14146699526144 00000001000101101000001010
00000000011001100010 20 20 49993 14137220399104 00000000010001100110001010
00000000000101101010 20 20 48192 14136750637056 00000000000100010110101010
00000000000110011010 20 20 48193 14136314429440 00000000000100011001101010
00000001100110000010 20 20 49451 14124872368128 00000001000110011000001010
00000001011000001010 20 20 49318 14116584423424 00000001000101100000101010
00011001100101101010 20 20 36885 14106618757120 00010001100110010110101010
00011001100110011010 20 20 36944 14105108807680 00010001100110011001101010
00011001010110101010 20 20 37001 14097525506048 00010001100101011010101010
00010110011001101010 20 20 36713 14080395968512 00010001011001100110101010
