# x |x| K_N count nontrivial_mass_2^-64 min_program kt depth0 open_progs speed_nontrivial_lo_2^-128 speed_nontrivial_hi_2^-128 honest_nontrivial_lo_2^-128 honest_nontrivial_hi_2^-128 kt_program
00000000000110110 17 17 266699 79802899890176 00000000000100100110110 17 0 0 1251158364194484884991119816960919 1251158364194484884991119817063894 80342721302770798239203712971748 80342721302770798239203713238447 00000000000100100110110
00000001110001110 17 17 231073 79548355969024 0000000100011000110110 17 0 0 1219194199686845302388256180464467 1219194199686845302388256180562326 79830085623678436484405308989967 79830085623678436484405309221033 0000000100011000110110
00011000000110110 17 17 199604 78376358379520 010001101000000110110 17 0 0 1116105960568959252912711582229238 1116105960568959252912711582318656 77799136812475891875512025312873 77799136812475891875512025512433 010001101000000110110
00000110011000110 17 17 215677 77507583803392 00000100011001100011010 17 0 0 1200518570051948733055066843978824 1200518570051948733055066844077480 77894297274111691880811914526668 77894297274111691880811914742345 00000100011001100011010
00000101100011010 17 17 215158 77417892806656 00000100010110001101010 17 0 0 1200107194997073363220129938796789 1200107194997073363220129938895356 77817585761131836446848566066033 77817585761131836446848566281191 00000100010110001101010
00011000011100010 17 17 214035 77218596257792 00010001100001110001010 17 0 0 1197017095109890304893364343198223 1197017095109890304893364343290072 77621158183424223433511171882050 77621158183424223433511172096080 00010001100001110001010
00000101101000110 17 17 202872 74972764569600 00000100010110100011010 17 0 0 1168484935593155647091430215309062 1168484935593155647091430215400296 75399098695758873248775920388549 75399098695758873248775920591421 00000100010110100011010
00000111000011010 17 17 213108 74959275687936 00000100011000011010110 17 0 0 1174705965456726115162343300170145 1174705965456726115162343300256820 75451014229457106852236667554771 75451014229457106852236667767879 00000100011000011010110
00000101110001010 17 17 216474 74341387599872 00000100100101110001010 17 0 0 1155831950588735205052299980034024 1155831950588735205052299980124207 74750902081854235399558565353073 74750902081854235399558565569546 00000100100101110001010
00000110011100010 17 17 216007 74311792590848 00000100100110011100010 17 0 0 1155786100802594176602499866301115 1155786100802594176602499866390762 74729321668191428901484068645978 74729321668191428901484068861984 00000100100110011100010
00010110001100010 17 17 192013 73959739490304 00010001011000110001010 17 0 0 1140578954067158373435724558827832 1140578954067158373435724558912703 74287733634276564377339247982758 74287733634276564377339248174764 00010001011000110001010
000001011010011010 18 18 207864 73806429290496 00000100011010011010 18 0 0 1093573607867277685917533431755173 1093573607867277685917533431869359 69854230200339643110135961708198 69854230200339643110135961916051 00000100011010011010
00011000000011110 17 17 184336 73566523490304 00010001100000001111010 17 0 0 1145509870149914222576257627805962 1145509870149914222576257627887066 73992030863133295671692524395492 73992030863133295671692524579827 00010001100000001111010
00000110000111010 17 17 191780 70991187279872 00000100011000011101010 17 0 0 1092512753899883512902214143677716 1092512753899883512902214143757642 71274308656911894473249209421757 71274308656911894473249209613537 00000100011000011101010
00000101100010110 17 17 204751 70535241269248 00000100100101100010110 17 0 0 1102144013144494462053918937663323 1102144013144494462053918937747052 70968017179094199119828835614499 70968017179094199119828835819248 00000100100101100010110
00000111001100010 17 17 204536 70524780675072 00000100100111001100010 17 0 0 1102108993897929389984340263266618 1102108993897929389984340263350103 70959537292731838894141358989957 70959537292731838894141359194492 00000100100111001100010
00010110001000110 17 17 182592 70039910744064 00010001011000100011010 17 0 0 1084867651066588828624368160950762 1084867651066588828624368161028750 70382507575266056550049070158585 70382507575266056550049070341174 00010001011000100011010
00000110000011110 17 17 176681 69435024998400 00000100100110000011110 17 0 0 1091912364579722077833857239402605 1091912364579722077833857239477385 69922354394847552890879562026327 69922354394847552890879562203008 00000100100110000011110
00011000011000110 17 17 184584 69152488292352 00010001100001100011010 17 0 0 1077381145379064679564368039271587 1077381145379064679564368039350189 69487752942694866292938291907120 69487752942694866292938292091691 00010001100001100011010
00010110100000110 17 17 165303 68706197569536 00010001011010000011010 17 0 0 1080722207991838082976714156115468 1080722207991838082976714156185784 69176948427200968656989922417161 69176948427200968656989922582464 00010001011010000011010
